year,film,winner
1943,The Song of Bernadette (film),1
1944,Going My Way,1
1945,The Lost Weekend (film),1
1946,The Best Years of Our Lives,1
1947,Gentleman's Agreement,1
1948,Johnny Belinda (1948 film),1
1948,The Treasure of the Sierra Madre (film),1
1949,All the King's Men (1949 film),1
1949,Come to the Stable,0
1950,Sunset Boulevard (1950 film),1
1950,All About Eve,0
1950,Born Yesterday (1950 film),0
1950,Cyrano de Bergerac (1950 film),0
1950,Harvey (film),0
1951,A Place in the Sun (film),1
1951,Bright Victory,0
1951,Detective Story (1951 film),0
1951,Quo Vadis (1951 film),0
1951,A Streetcar Named Desire (1951 film),0
1952,The Greatest Show on Earth (film),1
1952,"Come Back, Little Sheba (1952 film)",0
1952,The Happy Time,0
1952,High Noon,0
1952,The Thief (1952 film),0
1953,The Robe (film),1
1954,On the Waterfront,1
1955,East of Eden (film),1
1956,Around the World in 80 Days (1956 film),1
1956,Giant (1956 film),0
1956,Lust for Life (1956 film),0
1956,The Rainmaker (1956 film),0
1956,War and Peace (1956 film),0
1957,The Bridge on the River Kwai,1
1957,12 Angry Men (1957 film),0
1957,Sayonara,0
1957,Wild Is the Wind,0
1957,Witness for the Prosecution (1957 film),0
1958,The Defiant Ones (film),1
1958,Cat on a Hot Tin Roof (1958 film),0
1958,Home Before Dark (film),0
1958,I Want to Live!,0
1958,Separate Tables (film),0
1959,Ben-Hur (1959 film),1
1959,Anatomy of a Murder,0
1959,The Diary of Anne Frank (1959 film),0
1959,The Nun's Story (film),0
1959,On the Beach (1959 film),0
1960,Spartacus (film),1
1960,Elmer Gantry (film),0
1960,Inherit the Wind (1960 film),0
1960,Sons and Lovers (film),0
1960,Sunrise at Campobello,0
1961,The Guns of Navarone (film),1
1961,El Cid (film),0
1961,Fanny (1961 film),0
1961,Judgment at Nuremberg,0
1961,Splendor in the Grass,0
1962,Lawrence of Arabia (film),1
1962,The Chapman Report,0
1962,Days of Wine and Roses (film),0
1962,Freud: The Secret Passion,0
1962,Hemingway's Adventures of a Young Man,0
1962,The Inspector (1962 film),0
1962,The Longest Day (film),0
1962,The Miracle Worker (1962 film),0
1962,Mutiny on the Bounty (1962 film),0
1962,To Kill a Mockingbird (film),0
1963,The Cardinal,1
1963,America America,0
1963,"Captain Newman, M.D.",0
1963,The Caretakers,0
1963,Cleopatra (1963 film),0
1963,The Great Escape (film),0
1963,Hud (1963 film),0
1963,Lilies of the Field (1963 film),0
1964,Becket (1964 film),1
1964,The Chalk Garden (film),0
1964,Dear Heart,0
1964,The Night of the Iguana (film),0
1964,Zorba the Greek (film),0
1965,Doctor Zhivago (film),1
1965,The Collector (1965 film),0
1965,The Flight of the Phoenix (1965 film),0
1965,A Patch of Blue,0
1965,Ship of Fools (film),0
1966,A Man for All Seasons (1966 film),1
1966,Born Free,0
1966,The Professionals (1966 film),0
1966,The Sand Pebbles (film),0
1966,Who's Afraid of Virginia Woolf? (film),0
1967,In the Heat of the Night (film),1
1967,Bonnie and Clyde (film),0
1967,Far from the Madding Crowd (1967 film),0
1967,Guess Who's Coming to Dinner,0
1967,In Cold Blood (film),0
1968,The Lion in Winter (1968 film),1
1968,Charly,0
1968,The Fixer (1968 film),0
1968,The Heart Is a Lonely Hunter (film),0
1968,The Shoes of the Fisherman,0
1969,Anne of the Thousand Days,1
1969,Butch Cassidy and the Sundance Kid,0
1969,Midnight Cowboy,0
1969,The Prime of Miss Jean Brodie (film),0
1969,"They Shoot Horses, Don't They? (film)",0
1970,Love Story (1970 film),1
1970,Airport (1970 film),0
1970,Five Easy Pieces,0
1970,I Never Sang for My Father,0
1970,Patton (film),0
1971,The French Connection (film),1
1971,A Clockwork Orange (film),0
1971,The Last Picture Show,0
1971,"Mary, Queen of Scots (1971 film)",0
1971,Summer of '42,0
1972,The Godfather,1
1972,Deliverance,0
1972,Frenzy,0
1972,The Poseidon Adventure (1972 film),0
1972,Sleuth (1972 film),0
1973,The Exorcist (film),1
1973,Cinderella Liberty,0
1973,The Day of the Jackal (film),0
1973,Last Tango in Paris,0
1973,Save the Tiger,0
1973,Serpico,0
1974,Chinatown (1974 film),1
1974,The Conversation,0
1974,Earthquake (1974 film),0
1974,The Godfather Part II,0
1974,A Woman Under the Influence,0
1975,One Flew Over the Cuckoo's Nest (film),1
1975,Barry Lyndon,0
1975,Dog Day Afternoon,0
1975,Jaws (film),0
1975,Nashville (film),0
1976,Rocky,1
1976,All the President's Men (film),0
1976,Bound for Glory (1976 film),0
1976,Network (1976 film),0
1976,Voyage of the Damned,0
1977,The Turning Point (1977 film),1
1977,Close Encounters of the Third Kind,0
1977,I Never Promised You a Rose Garden (film),0
1977,Julia (1977 film),0
1977,Star Wars (film),0
1978,Midnight Express (film),1
1978,Coming Home (1978 film),0
1978,Days of Heaven,0
1978,The Deer Hunter,0
1978,An Unmarried Woman,0
1979,Kramer vs. Kramer,1
1979,Apocalypse Now,0
1979,The China Syndrome,0
1979,Manhattan (film),0
1979,Norma Rae,0
1980,Ordinary People,1
1980,The Elephant Man (film),0
1980,The Ninth Configuration,0
1980,Raging Bull,0
1980,The Stunt Man,0
1981,On Golden Pond (1981 film),1
1981,The French Lieutenant's Woman (film),0
1981,Prince of the City (film),0
1981,Ragtime (film),0
1981,Reds (film),0
1982,E.T. the Extra-Terrestrial,1
1982,Missing (1982 film),0
1982,An Officer and a Gentleman,0
1982,Sophie's Choice (film),0
1982,The Verdict,0
1983,Terms of Endearment,1
1983,"Reuben, Reuben",0
1983,The Right Stuff (film),0
1983,Silkwood,0
1983,Tender Mercies,0
1984,Amadeus (film),1
1984,The Cotton Club (film),0
1984,The Killing Fields (film),0
1984,Places in the Heart,0
1984,A Soldier's Story,0
1985,Out of Africa (film),1
1985,The Color Purple (film),0
1985,Kiss of the Spider Woman (film),0
1985,Runaway Train (film),0
1985,Witness (1985 film),0
1986,Platoon (film),1
1986,Children of a Lesser God (film),0
1986,The Mission (1986 film),0
1986,Mona Lisa (1986 film),0
1986,A Room with a View (1985 film),0
1986,Stand by Me (film),0
1987,The Last Emperor,1
1987,Cry Freedom,0
1987,Empire of the Sun (film),0
1987,Fatal Attraction,0
1987,La Bamba (film),0
1987,Nuts (1987 film),0
1988,Rain Man,1
1988,The Accidental Tourist (film),0
1988,Evil Angels (film),0
1988,Gorillas in the Mist,0
1988,Mississippi Burning,0
1988,Running on Empty (1988 film),0
1988,The Unbearable Lightness of Being (film),0
1989,Born on the Fourth of July (film),1
1989,Crimes and Misdemeanors,0
1989,Dead Poets Society,0
1989,Do the Right Thing,0
1989,Glory (1989 film),0
1990,Dances with Wolves,1
1990,Avalon (1990 film),0
1990,The Godfather Part III,0
1990,Goodfellas,0
1990,Reversal of Fortune,0
1991,Bugsy,1
1991,JFK (film),0
1991,The Prince of Tides,0
1991,The Silence of the Lambs (film),0
1991,Thelma & Louise,0
1992,Scent of a Woman (1992 film),1
1992,The Crying Game,0
1992,A Few Good Men,0
1992,Howards End (film),0
1992,Unforgiven,0
1993,Schindler's List,1
1993,The Age of Innocence (1993 film),0
1993,In the Name of the Father (film),0
1993,The Piano,0
1993,The Remains of the Day (film),0
1994,Forrest Gump,1
1994,Legends of the Fall,0
1994,Nell (film),0
1994,Pulp Fiction,0
1994,Quiz Show (film),0
1995,Sense and Sensibility (film),1
1995,Apollo 13 (film),0
1995,Braveheart,0
1995,The Bridges of Madison County (film),0
1995,Leaving Las Vegas,0
1996,The English Patient (film),1
1996,Breaking the Waves,0
1996,The People vs. Larry Flynt,0
1996,Secrets & Lies (film),0
1996,Shine (film),0
1997,Titanic (1997 film),1
1997,Amistad (film),0
1997,The Boxer (1997 film),0
1997,Good Will Hunting,0
1997,L.A. Confidential (film),0
1998,Saving Private Ryan,1
1998,Elizabeth (film),0
1998,Gods and Monsters (film),0
1998,The Horse Whisperer (film),0
1998,The Truman Show,0
1999,American Beauty (1999 film),1
1999,The End of the Affair (1999 film),0
1999,The Hurricane (1999 film),0
1999,The Insider (film),0
1999,The Talented Mr. Ripley (film),0
2000,Gladiator (2000 film),1
2000,Billy Elliot,0
2000,Erin Brockovich (film),0
2000,Sunshine (1999 film),0
2000,Traffic (2000 film),0
2000,Wonder Boys (film),0
2001,A Beautiful Mind (film),1
2001,In the Bedroom,0
2001,The Lord of the Rings: The Fellowship of the Ring,0
2001,The Man Who Wasn't There (2001 film),0
2001,Mulholland Drive (film),0
2002,The Hours (film),1
2002,About Schmidt,0
2002,Gangs of New York,0
2002,The Lord of the Rings: The Two Towers,0
2002,The Pianist (2002 film),0
2003,The Lord of the Rings: The Return of the King,1
2003,Cold Mountain (film),0
2003,Master and Commander: The Far Side of the World,0
2003,Mystic River (film),0
2003,Seabiscuit (film),0
2004,The Aviator (2004 film),1
2004,Closer (2004 film),0
2004,Finding Neverland (film),0
2004,Hotel Rwanda,0
2004,Kinsey (film),0
2004,Million Dollar Baby,0
2005,Brokeback Mountain,1
2005,The Constant Gardener (film),0
2005,"Good Night, and Good Luck",0
2005,A History of Violence,0
2005,Match Point,0
2006,Babel (film),1
2006,Bobby (2006 film),0
2006,The Departed,0
2006,Little Children (film),0
2006,The Queen (2006 film),0
2007,Atonement (film),1
2007,American Gangster (film),0
2007,Eastern Promises,0
2007,The Great Debaters,0
2007,Michael Clayton (film),0
2007,No Country for Old Men (film),0
2007,There Will Be Blood,0
2008,Slumdog Millionaire,1
2008,The Curious Case of Benjamin Button (film),0
2008,Frost/Nixon (film),0
2008,The Reader (2008 film),0
2008,Revolutionary Road (film),0
2009,Avatar (2009 film),1
2009,The Hurt Locker,0
2009,Inglourious Basterds,0
2009,Precious (film),0
2009,Up in the Air (2009 film),0
2010,The Social Network,1
2010,Black Swan (film),0
2010,The Fighter,0
2010,Inception,0
2010,The King's Speech,0
2011,The Descendants,1
2011,The Help (film),0
2011,Hugo (film),0
2011,The Ides of March (2011 film),0
2011,Moneyball (film),0
2011,War Horse (film),0
2012,Argo (2012 film),1
2012,Django Unchained,0
2012,Life of Pi (film),0
2012,Lincoln (film),0
2012,Zero Dark Thirty,0
2013,12 Years a Slave (film),1
2013,Captain Phillips (film),0
2013,Gravity (2013 film),0
2013,Philomena (film),0
2013,Rush (2013 film),0
2014,Boyhood (film),1
2014,Foxcatcher,0
2014,The Imitation Game,0
2014,Selma (film),0
2014,The Theory of Everything (2014 film),0
2015,The Revenant (2015 film),1
2015,Carol (film),0
2015,Mad Max: Fury Road,0
2015,Room (2015 film),0
2015,Spotlight (film),0
2016,Moonlight (2016 film),1
2016,Hacksaw Ridge,0
2016,Hell or High Water (2016 film),0
2016,Lion (2016 film),0
2016,Manchester by the Sea (film),0
2017,"Three Billboards Outside Ebbing, Missouri",1
2017,Call Me by Your Name (film),0
2017,Dunkirk (2017 film),0
2017,The Post (film),0
2017,The Shape of Water,0
2018,Bohemian Rhapsody (film),1
2018,Black Panther (film),0
2018,BlacKkKlansman,0
2018,If Beale Street Could Talk (film),0
2018,A Star Is Born (2018 film),0
2019,1917 (2019 film),1
2019,The Irishman,0
2019,Joker (2019 film),0
2019,Marriage Story,0
2019,The Two Popes,0
