year,film,winner
1960,The Apartment,1
1960,The 400 Blows,0
1960,The Angry Silence,0
1960,L'avventura,0
1960,La Dolce Vita,0
1960,Elmer Gantry (film),0
1960,Hiroshima mon amour,0
1960,Inherit the Wind (1960 film),0
1960,Let's Make Love,0
1960,Black Orpheus,0
1960,Never on Sunday,0
1960,Saturday Night and Sunday Morning (film),0
1960,Shadows (1959 film),0
1960,Spartacus (film),0
1960,The Testament of Orpheus,0
1960,The Trials of Oscar Wilde,0
1960,Tunes of Glory,0
1961,Ballad of a Soldier,1
1961,The Hustler (film),1
1961,The World of Apu,0
1961,The Innocents (1961 film),0
1961,Judgment at Nuremberg,0
1961,The Long and the Short and the Tall (film),0
1961,Rocco and His Brothers,0
1961,The Sundowners (1960 film),0
1961,A Taste of Honey (film),0
1961,The Hole (1960 film),0
1961,Whistle Down the Wind (film),0
1962,Lawrence of Arabia (film),1
1962,Last Year at Marienbad,0
1962,Billy Budd (film),0
1962,The Elusive Corporal,0
1962,The Lady with the Dog (film),0
1962,The Naked Island,0
1962,Jules and Jim,0
1962,A Kind of Loving (film),0
1962,The L-Shaped Room,0
1962,Lola (1961 film),0
1962,The Manchurian Candidate (1962 film),0
1962,The Miracle Worker (1962 film),0
1962,Only Two Can Play,0
1962,Phaedra (film),0
1962,Through a Glass Darkly (film),0
1962,Tu ne tueras point,0
1962,The Long Absence,0
1962,West Side Story (1961 film),0
1963,Tom Jones (1963 film),1
1963,8½,0
1963,Billy Liar (film),0
1963,David and Lisa,0
1963,Days of Wine and Roses (film),0
1963,"Divorce, Italian Style",0
1963,Hud (1963 film),0
1963,Knife in the Water (film),0
1963,The Four Days of Naples (film),0
1963,The Servant (1963 film),0
1963,This Sporting Life,0
1963,To Kill a Mockingbird (film),0
1964,Dr. Strangelove,1
1964,Becket (1964 film),0
1964,The Pumpkin Eater,0
1964,The Train (1964 film),0
1965,My Fair Lady (film),1
1965,Hamlet (1964 film),0
1965,The Hill (film),0
1965,The Knack ...and How to Get It,0
1965,Zorba the Greek (film),0
1966,Who's Afraid of Virginia Woolf? (film),1
1966,Doctor Zhivago (film),0
1966,Morgan – A Suitable Case for Treatment,0
1966,The Spy Who Came in from the Cold (film),0
1967,A Man for All Seasons (1966 film),1
1967,Bonnie and Clyde (film),0
1967,In the Heat of the Night (film),0
1967,A Man and a Woman,0
1968,The Graduate,1
1968,2001: A Space Odyssey (film),0
1968,Oliver! (film),0
1968,Closely Watched Trains,0
1969,Midnight Cowboy,1
1969,Oh! What a Lovely War,0
1969,Women in Love (film),0
1969,Z (1969 film),0
1970,Butch Cassidy and the Sundance Kid,1
1970,Kes (film),0
1970,MASH (film),0
1970,Ryan's Daughter,0
1971,Sunday Bloody Sunday (film),1
1971,The Go-Between (1971 film),0
1971,Death in Venice (film),0
1971,Taking Off (film),0
1972,Cabaret (1972 film),1
1972,A Clockwork Orange (film),0
1972,The French Connection (film),0
1972,The Last Picture Show,0
1973,Day for Night (film),1
1973,The Day of the Jackal (film),0
1973,The Discreet Charm of the Bourgeoisie,0
1973,Don't Look Now,0
1974,"Lacombe, Lucien",1
1974,Chinatown (1974 film),0
1974,The Last Detail,0
1974,Murder on the Orient Express (1974 film),0
1975,Alice Doesn't Live Here Anymore,1
1975,Barry Lyndon,0
1975,Dog Day Afternoon,0
1975,Jaws (film),0
1976,One Flew Over the Cuckoo's Nest (film),1
1976,All the President's Men (film),0
1976,Bugsy Malone,0
1976,Taxi Driver,0
1977,Annie Hall,1
1977,A Bridge Too Far (film),0
1977,Network (1976 film),0
1977,Rocky,0
1978,Julia (1977 film),1
1978,Close Encounters of the Third Kind,0
1978,Midnight Express (film),0
1978,Star Wars (film),0
1979,Manhattan (film),1
1979,Apocalypse Now,0
1979,The China Syndrome,0
1979,The Deer Hunter,0
1980,The Elephant Man (film),1
1980,Being There,0
1980,Kagemusha,0
1980,Kramer vs. Kramer,0
1981,Chariots of Fire,1
